./HIPE-results/output-hipe-14/output-hipe-2overlap/
Micro-Precision,Micro-Recall,Micro-F1,TP,FP,FN
0.864516129032258,0.5447154471544715,0.6683291770573561,134.0,21.0,112.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.7954545454545454,0.5932203389830508,0.6796116504854363,35.0,9.0,24.0
0.0,0.0,0.0,0.0,0.0,3.0
0.881578947368421,0.5193798449612403,0.6536585365853653,67.0,9.0,62.0
0.832258064516129,0.524390243902439,0.6433915211970069,129.0,26.0,117.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.7954545454545454,0.5932203389830508,0.6796116504854363,35.0,9.0,24.0
0.0,0.0,0.0,0.0,0.0,3.0
0.8157894736842105,0.4806201550387597,0.6048780487804872,62.0,14.0,67.0
"
"
