./HIPE-results/output-hipe-fw-10/output-hipe-2overlap/
Micro-Precision,Micro-Recall,Micro-F1,TP,FP,FN
0.7988505747126436,0.5604838709677419,0.6587677725118478,139.0,35.0,109.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.6451612903225806,0.6557377049180327,0.6504065040650401,40.0,22.0,21.0
0.0,0.0,0.0,0.0,0.0,3.0
0.8701298701298701,0.5193798449612403,0.6504854368932034,67.0,10.0,62.0
0.7701149425287356,0.5403225806451613,0.6350710900473927,134.0,40.0,114.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.6451612903225806,0.6557377049180327,0.6504065040650401,40.0,22.0,21.0
0.0,0.0,0.0,0.0,0.0,3.0
0.8051948051948052,0.4806201550387597,0.601941747572815,62.0,15.0,67.0
"
"
